commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
111CA_Farms,33787,653,0,27,13,0,1737,141066,2221,0,0,0,0,0,4048,0,0,0,0,0,0,0,0,0,0,368,618,1026,37,0,0,0,1,0,329,16,473,79,0,191,18,623,25,50984,0,0,0,0,9063,25010,-15717,0,0,0,0,0,0,0,0,0,0,0,0,0,-778
113FF_Forestry_fishing_and_related_activities,13820,8606,0,74,0,0,0,5521,0,36,14685,3694,45,1,345,1510,1,0,0,0,0,0,0,0,29,222,0,473,2,0,0,0,0,0,86,6,1,48,0,145,213,2179,109,5932,0,0,0,0,-230,4250,-12077,0,0,0,0,0,0,0,0,0,0,0,0,28,50
211_Oil_and_gas_extraction,0,0,31390,20,2,62809,0,4,0,0,9,9,1,197869,13801,9,1,211,2,1,0,0,1,0,0,0,27,45,152,3,11,0,0,0,14,49,14,5,67,23,24,77,46,0,0,0,0,0,643,2567,-164004,0,0,0,0,0,0,0,0,0,0,0,0,700,0
212_Mining_except_oil_and_gas,1530,1,27,4883,44,6228,11563,2117,203,0,13,1906,0,214,3482,192,6944,11495,372,70,83,115,91,87,27,423,11,2,63,1,246,0,0,0,389,27,178,90,47,378,38,302,295,573,56,0,0,0,515,4214,-3183,0,0,0,0,0,0,0,0,0,0,0,0,0,1047
213_Support_activities_for_mining,0,0,3351,1233,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,418,0,0,47294,0,1139,-467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,3927,242,1453,2079,60,12672,4570,8594,1705,625,1258,4729,793,460,9886,2936,3417,5988,2944,1468,2519,790,2450,872,546,794,5651,18369,10018,2056,3365,3079,51461,1719,1726,4525,1688,3624,4367,1322,3082,11776,2603,195086,0,0,0,0,0,3315,-1406,0,0,0,0,0,0,0,0,0,0,0,0,735,2409
23_Construction,1146,70,2340,1114,1094,3332,216,974,188,60,244,480,282,653,1151,500,341,736,544,402,658,156,444,159,165,183,760,2112,3090,157,3434,4501,83885,184,512,284,182,218,768,260,415,979,2637,0,0,0,571421,253553,0,81,0,0,0,0,6943,0,0,0,11090,0,0,0,213262,722,5044
311FT_Food_and_beverage_and_tobacco_products,17546,526,0,0,0,0,0,123845,15,877,15,868,563,27,2332,103,205,4,0,0,0,0,0,0,0,5,776,3226,446,0,143,0,0,0,562,54,0,5215,12803,4258,3230,28284,1306,406307,0,0,0,0,1387,29444,-46012,0,0,0,0,0,0,0,0,0,0,0,0,643,2266
313TT_Textile_mills_and_textile_product_mills,150,106,0,3,0,0,1515,293,14284,6909,640,1371,302,10,3,2006,255,0,0,482,11,0,3567,666,3138,2283,681,2739,227,1,164,0,58,125,206,4,174,45,3432,438,1759,286,1053,21815,2752,0,727,0,895,9317,-20275,0,0,0,0,0,18,0,0,0,17,0,0,-6,877
315AL_Apparel_and_leather_and_allied_products,25,0,0,0,0,0,0,14,776,4267,0,0,1429,1,0,0,0,0,0,0,0,0,1953,0,0,102,448,878,0,0,1686,0,0,70,18,1,268,59,744,86,19,235,1582,123729,0,0,0,0,1657,5320,-109745,0,0,0,0,0,0,0,0,0,0,0,0,47,140
